Series Description,Federal funds effective rate,"Average majority prime rate charged by banks   on short-term loans to business,   quoted on an investment basis",The rate charged for primary credit under   amendment to the Board's Regulation A
Unit:,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year
Multiplier:,1,1,1
Currency:,NA,NA,NA
Unique Identifier: ,H15/H15/RIFSPFF_N.WW,H15/H15/RIFSPBLP_N.WW,H15/H15/RIFSRP_F02_N.WW
Time Period,RIFSPFF_N.WW,RIFSPBLP_N.WW,RIFSRP_F02_N.WW
2006-11-22,5.24,8.25,6.25
2006-11-29,5.26,8.25,6.25
2006-12-06,5.25,8.25,6.25
2006-12-13,5.24,8.25,6.25
2006-12-20,5.25,8.25,6.25
2006-12-27,5.24,8.25,6.25
2007-01-03,5.22,8.25,6.25
2007-01-10,5.23,8.25,6.25
2007-01-17,5.24,8.25,6.25
2007-01-24,5.25,8.25,6.25
2007-01-31,5.27,8.25,6.25
2007-02-07,5.25,8.25,6.25
2007-02-14,5.26,8.25,6.25
2007-02-21,5.25,8.25,6.25
2007-02-28,5.28,8.25,6.25
2007-03-07,5.25,8.25,6.25
2007-03-14,5.25,8.25,6.25
2007-03-21,5.26,8.25,6.25
2007-03-28,5.26,8.25,6.25
2007-04-04,5.26,8.25,6.25
2007-04-11,5.28,8.25,6.25
2007-04-18,5.24,8.25,6.25
2007-04-25,5.23,8.25,6.25
2007-05-02,5.25,8.25,6.25
2007-05-09,5.23,8.25,6.25
2007-05-16,5.27,8.25,6.25
2007-05-23,5.24,8.25,6.25
2007-05-30,5.28,8.25,6.25
2007-06-06,5.24,8.25,6.25
2007-06-13,5.26,8.25,6.25
2007-06-20,5.25,8.25,6.25
2007-06-27,5.25,8.25,6.25
2007-07-04,5.28,8.25,6.25
2007-07-11,5.23,8.25,6.25
2007-07-18,5.27,8.25,6.25
2007-07-25,5.26,8.25,6.25
2007-08-01,5.27,8.25,6.25
2007-08-08,5.25,8.25,6.25
2007-08-15,4.79,8.25,6.25
2007-08-22,4.91,8.25,5.82
2007-08-29,5.11,8.25,5.75
2007-09-05,5.03,8.25,5.75
2007-09-12,4.98,8.25,5.75
2007-09-19,5.12,8.11,5.61
2007-09-26,4.78,7.75,5.25
2007-10-03,4.72,7.75,5.25
2007-10-10,4.75,7.75,5.25
2007-10-17,4.74,7.75,5.25
2007-10-24,4.73,7.75,5.25
2007-10-31,4.78,7.71,5.21
2007-11-07,4.33,7.5,5
2007-11-14,4.54,7.5,5
2007-11-21,4.51,7.5,5
2007-11-28,4.53,7.5,5
2007-12-05,4.55,7.5,5
2007-12-12,4.39,7.43,4.93
2007-12-19,4.21,7.25,4.75
2007-12-26,4.21,7.25,4.75
2008-01-02,3.77,7.25,4.75
2008-01-09,4.23,7.25,4.75
2008-01-16,4.24,7.25,4.75
2008-01-23,4,7.04,4.54
2008-01-30,3.5,6.43,3.93
2008-02-06,3.01,6,3.5
2008-02-13,3,6,3.5
2008-02-20,2.98,6,3.5
2008-02-27,2.96,6,3.5
2008-03-05,3,6,3.5
2008-03-12,2.97,6,3.5
2008-03-19,2.7,5.79,3.18
2008-03-26,2.18,5.25,2.5
2008-04-02,2.23,5.25,2.5
2008-04-09,2.23,5.25,2.5
2008-04-16,2.34,5.25,2.5
2008-04-23,2.25,5.25,2.5
2008-04-30,2.28,5.21,2.46
2008-05-07,1.94,5,2.25
2008-05-14,1.96,5,2.25
2008-05-21,1.96,5,2.25
2008-05-28,2.05,5,2.25
2008-06-04,1.99,5,2.25
2008-06-11,1.99,5,2.25
2008-06-18,1.98,5,2.25
2008-06-25,1.97,5,2.25
2008-07-02,2.08,5,2.25
2008-07-09,1.95,5,2.25
2008-07-16,2.01,5,2.25
2008-07-23,1.99,5,2.25
2008-07-30,2.08,5,2.25
2008-08-06,2.02,5,2.25
2008-08-13,1.99,5,2.25
2008-08-20,2.02,5,2.25
2008-08-27,1.99,5,2.25
2008-09-03,1.96,5,2.25
2008-09-10,1.99,5,2.25
2008-09-17,2.25,5,2.25
2008-09-24,1.54,5,2.25
2008-10-01,1.32,5,2.25
2008-10-08,1.59,4.93,2.18
2008-10-15,0.96,4.5,1.75
2008-10-22,0.69,4.5,1.75
2008-10-29,0.82,4.43,1.68
2008-11-05,0.24,4,1.25
2008-11-12,0.28,4,1.25
2008-11-19,0.36,4,1.25
2008-11-26,0.56,4,1.25
2008-12-03,0.49,4,1.25
2008-12-10,0.13,4,1.25
2008-12-17,0.15,3.79,1.04
2008-12-24,0.11,3.25,0.5
2008-12-31,0.1,3.25,0.5
2009-01-07,0.1,3.25,0.5
2009-01-14,0.1,3.25,0.5
2009-01-21,0.2,3.25,0.5
2009-01-28,0.19,3.25,0.5
2009-02-04,0.23,3.25,0.5
2009-02-11,0.23,3.25,0.5
2009-02-18,0.23,3.25,0.5
2009-02-25,0.2,3.25,0.5
2009-03-04,0.22,3.25,0.5
2009-03-11,0.2,3.25,0.5
2009-03-18,0.17,3.25,0.5
2009-03-25,0.17,3.25,0.5
2009-04-01,0.16,3.25,0.5
2009-04-08,0.14,3.25,0.5
2009-04-15,0.15,3.25,0.5
2009-04-22,0.14,3.25,0.5
2009-04-29,0.17,3.25,0.5
2009-05-06,0.21,3.25,0.5
2009-05-13,0.17,3.25,0.5
2009-05-20,0.16,3.25,0.5
2009-05-27,0.17,3.25,0.5
2009-06-03,0.19,3.25,0.5
2009-06-10,0.2,3.25,0.5
2009-06-17,0.19,3.25,0.5
2009-06-24,0.24,3.25,0.5
2009-07-01,0.19,3.25,0.5
2009-07-08,0.17,3.25,0.5
2009-07-15,0.14,3.25,0.5
2009-07-22,0.15,3.25,0.5
2009-07-29,0.15,3.25,0.5
2009-08-05,0.18,3.25,0.5
2009-08-12,0.17,3.25,0.5
2009-08-19,0.16,3.25,0.5
2009-08-26,0.16,3.25,0.5
2009-09-02,0.15,3.25,0.5
2009-09-09,0.15,3.25,0.5
2009-09-16,0.16,3.25,0.5
2009-09-23,0.16,3.25,0.5
2009-09-30,0.12,3.25,0.5
2009-10-07,0.13,3.25,0.5
2009-10-14,0.12,3.25,0.5
2009-10-21,0.12,3.25,0.5
2009-10-28,0.11,3.25,0.5
2009-11-04,0.12,3.25,0.5
2009-11-11,0.12,3.25,0.5
2009-11-18,0.12,3.25,0.5
2009-11-25,0.11,3.25,0.5
2009-12-02,0.12,3.25,0.5
2009-12-09,0.12,3.25,0.5
2009-12-16,0.12,3.25,0.5
2009-12-23,0.12,3.25,0.5
2009-12-30,0.11,3.25,0.5
2010-01-06,0.08,3.25,0.5
2010-01-13,0.11,3.25,0.5
2010-01-20,0.12,3.25,0.5
2010-01-27,0.12,3.25,0.5
2010-02-03,0.13,3.25,0.5
2010-02-10,0.13,3.25,0.5
2010-02-17,0.12,3.25,0.5
2010-02-24,0.12,3.25,0.71
2010-03-03,0.13,3.25,0.75
2010-03-10,0.16,3.25,0.75
2010-03-17,0.18,3.25,0.75
2010-03-24,0.18,3.25,0.75
2010-03-31,0.16,3.25,0.75
2010-04-07,0.19,3.25,0.75
2010-04-14,0.19,3.25,0.75
2010-04-21,0.21,3.25,0.75
2010-04-28,0.2,3.25,0.75
2010-05-05,0.2,3.25,0.75
2010-05-12,0.2,3.25,0.75
2010-05-19,0.2,3.25,0.75
2010-05-26,0.2,3.25,0.75
2010-06-02,0.19,3.25,0.75
2010-06-09,0.19,3.25,0.75
2010-06-16,0.18,3.25,0.75
2010-06-23,0.18,3.25,0.75
2010-06-30,0.15,3.25,0.75
2010-07-07,0.18,3.25,0.75
2010-07-14,0.17,3.25,0.75
2010-07-21,0.19,3.25,0.75
2010-07-28,0.19,3.25,0.75
2010-08-04,0.19,3.25,0.75
2010-08-11,0.18,3.25,0.75
2010-08-18,0.19,3.25,0.75
2010-08-25,0.19,3.25,0.75
2010-09-01,0.19,3.25,0.75
2010-09-08,0.19,3.25,0.75
2010-09-15,0.19,3.25,0.75
2010-09-22,0.21,3.25,0.75
2010-09-29,0.2,3.25,0.75
2010-10-06,0.19,3.25,0.75
2010-10-13,0.18,3.25,0.75
2010-10-20,0.19,3.25,0.75
2010-10-27,0.19,3.25,0.75
2010-11-03,0.2,3.25,0.75
2010-11-10,0.18,3.25,0.75
2010-11-17,0.19,3.25,0.75
2010-11-24,0.2,3.25,0.75
2010-12-01,0.2,3.25,0.75
2010-12-08,0.18,3.25,0.75
2010-12-15,0.17,3.25,0.75
2010-12-22,0.2,3.25,0.75
2010-12-29,0.19,3.25,0.75
2011-01-05,0.16,3.25,0.75
2011-01-12,0.17,3.25,0.75
2011-01-19,0.17,3.25,0.75
2011-01-26,0.17,3.25,0.75
2011-02-02,0.17,3.25,0.75
2011-02-09,0.17,3.25,0.75
2011-02-16,0.15,3.25,0.75
2011-02-23,0.15,3.25,0.75
2011-03-02,0.15,3.25,0.75
2011-03-09,0.15,3.25,0.75
2011-03-16,0.14,3.25,0.75
2011-03-23,0.14,3.25,0.75
2011-03-30,0.13,3.25,0.75
2011-04-06,0.1,3.25,0.75
2011-04-13,0.09,3.25,0.75
2011-04-20,0.11,3.25,0.75
2011-04-27,0.1,3.25,0.75
2011-05-04,0.09,3.25,0.75
2011-05-11,0.09,3.25,0.75
2011-05-18,0.09,3.25,0.75
2011-05-25,0.1,3.25,0.75
2011-06-01,0.1,3.25,0.75
2011-06-08,0.1,3.25,0.75
2011-06-15,0.09,3.25,0.75
2011-06-22,0.1,3.25,0.75
2011-06-29,0.08,3.25,0.75
2011-07-06,0.08,3.25,0.75
2011-07-13,0.07,3.25,0.75
2011-07-20,0.06,3.25,0.75
2011-07-27,0.06,3.25,0.75
2011-08-03,0.12,3.25,0.75
2011-08-10,0.09,3.25,0.75
2011-08-17,0.1,3.25,0.75
2011-08-24,0.09,3.25,0.75
2011-08-31,0.09,3.25,0.75
2011-09-07,0.08,3.25,0.75
2011-09-14,0.09,3.25,0.75
2011-09-21,0.09,3.25,0.75
2011-09-28,0.08,3.25,0.75
2011-10-05,0.07,3.25,0.75
2011-10-12,0.07,3.25,0.75
2011-10-19,0.07,3.25,0.75
2011-10-26,0.07,3.25,0.75
2011-11-02,0.08,3.25,0.75
2011-11-09,0.08,3.25,0.75
2011-11-16,0.08,3.25,0.75
2011-11-23,0.08,3.25,0.75
2011-11-30,0.08,3.25,0.75
2011-12-07,0.08,3.25,0.75
2011-12-14,0.07,3.25,0.75
2011-12-21,0.07,3.25,0.75
2011-12-28,0.08,3.25,0.75
2012-01-04,0.05,3.25,0.75
2012-01-11,0.07,3.25,0.75
2012-01-18,0.09,3.25,0.75
2012-01-25,0.09,3.25,0.75
2012-02-01,0.09,3.25,0.75
2012-02-08,0.11,3.25,0.75
2012-02-15,0.12,3.25,0.75
2012-02-22,0.09,3.25,0.75
2012-02-29,0.09,3.25,0.75
2012-03-07,0.11,3.25,0.75
2012-03-14,0.12,3.25,0.75
2012-03-21,0.15,3.25,0.75
2012-03-28,0.14,3.25,0.75
2012-04-04,0.12,3.25,0.75
2012-04-11,0.14,3.25,0.75
2012-04-18,0.15,3.25,0.75
2012-04-25,0.13,3.25,0.75
2012-05-02,0.14,3.25,0.75
2012-05-09,0.16,3.25,0.75
2012-05-16,0.15,3.25,0.75
2012-05-23,0.16,3.25,0.75
2012-05-30,0.15,3.25,0.75
2012-06-06,0.16,3.25,0.75
2012-06-13,0.17,3.25,0.75
2012-06-20,0.17,3.25,0.75
2012-06-27,0.17,3.25,0.75
2012-07-04,0.13,3.25,0.75
2012-07-11,0.17,3.25,0.75
2012-07-18,0.18,3.25,0.75
2012-07-25,0.14,3.25,0.75
2012-08-01,0.14,3.25,0.75
2012-08-08,0.14,3.25,0.75
2012-08-15,0.13,3.25,0.75
2012-08-22,0.13,3.25,0.75
2012-08-29,0.13,3.25,0.75
2012-09-05,0.14,3.25,0.75
2012-09-12,0.15,3.25,0.75
2012-09-19,0.16,3.25,0.75
2012-09-26,0.15,3.25,0.75
2012-10-03,0.13,3.25,0.75
2012-10-10,0.15,3.25,0.75
2012-10-17,0.16,3.25,0.75
2012-10-24,0.16,3.25,0.75
2012-10-31,0.17,3.25,0.75
2012-11-07,0.16,3.25,0.75
2012-11-14,0.16,3.25,0.75
2012-11-21,0.16,3.25,0.75
2012-11-28,0.16,3.25,0.75
2012-12-05,0.16,3.25,0.75
2012-12-12,0.16,3.25,0.75
2012-12-19,0.17,3.25,0.75
2012-12-26,0.17,3.25,0.75
2013-01-02,0.15,3.25,0.75
2013-01-09,0.16,3.25,0.75
2013-01-16,0.14,3.25,0.75
2013-01-23,0.14,3.25,0.75
2013-01-30,0.14,3.25,0.75
2013-02-06,0.14,3.25,0.75
2013-02-13,0.14,3.25,0.75
2013-02-20,0.15,3.25,0.75
2013-02-27,0.15,3.25,0.75
2013-03-06,0.15,3.25,0.75
2013-03-13,0.15,3.25,0.75
2013-03-20,0.16,3.25,0.75
2013-03-27,0.15,3.25,0.75
2013-04-03,0.12,3.25,0.75
2013-04-10,0.15,3.25,0.75
2013-04-17,0.15,3.25,0.75
2013-04-24,0.15,3.25,0.75
2013-05-01,0.13,3.25,0.75
2013-05-08,0.14,3.25,0.75
2013-05-15,0.12,3.25,0.75
2013-05-22,0.1,3.25,0.75
2013-05-29,0.09,3.25,0.75
2013-06-05,0.09,3.25,0.75
2013-06-12,0.09,3.25,0.75
2013-06-19,0.1,3.25,0.75
2013-06-26,0.1,3.25,0.75
2013-07-03,0.09,3.25,0.75
2013-07-10,0.1,3.25,0.75
2013-07-17,0.09,3.25,0.75
2013-07-24,0.09,3.25,0.75
2013-07-31,0.09,3.25,0.75
2013-08-07,0.09,3.25,0.75
2013-08-14,0.08,3.25,0.75
2013-08-21,0.09,3.25,0.75
2013-08-28,0.08,3.25,0.75
2013-09-04,0.08,3.25,0.75
2013-09-11,0.08,3.25,0.75
2013-09-18,0.08,3.25,0.75
2013-09-25,0.08,3.25,0.75
2013-10-02,0.08,3.25,0.75
2013-10-09,0.08,3.25,0.75
2013-10-16,0.1,3.25,0.75
2013-10-23,0.09,3.25,0.75
2013-10-30,0.08,3.25,0.75
2013-11-06,0.08,3.25,0.75
2013-11-13,0.08,3.25,0.75
2013-11-20,0.09,3.25,0.75
2013-11-27,0.09,3.25,0.75
2013-12-04,0.08,3.25,0.75
2013-12-11,0.09,3.25,0.75
2013-12-18,0.09,3.25,0.75
2013-12-25,0.09,3.25,0.75
2014-01-01,0.08,3.25,0.75
2014-01-08,0.08,3.25,0.75
2014-01-15,0.07,3.25,0.75
2014-01-22,0.07,3.25,0.75
2014-01-29,0.07,3.25,0.75
2014-02-05,0.07,3.25,0.75
2014-02-12,0.06,3.25,0.75
2014-02-19,0.06,3.25,0.75
2014-02-26,0.07,3.25,0.75
2014-03-05,0.07,3.25,0.75
2014-03-12,0.08,3.25,0.75
2014-03-19,0.08,3.25,0.75
2014-03-26,0.08,3.25,0.75
2014-04-02,0.08,3.25,0.75
2014-04-09,0.08,3.25,0.75
2014-04-16,0.09,3.25,0.75
2014-04-23,0.1,3.25,0.75
2014-04-30,0.09,3.25,0.75
2014-05-07,0.09,3.25,0.75
2014-05-14,0.08,3.25,0.75
2014-05-21,0.09,3.25,0.75
2014-05-28,0.09,3.25,0.75
2014-06-04,0.09,3.25,0.75
2014-06-11,0.09,3.25,0.75
2014-06-18,0.1,3.25,0.75
2014-06-25,0.1,3.25,0.75
2014-07-02,0.1,3.25,0.75
2014-07-09,0.09,3.25,0.75
2014-07-16,0.09,3.25,0.75
2014-07-23,0.09,3.25,0.75
2014-07-30,0.09,3.25,0.75
2014-08-06,0.09,3.25,0.75
2014-08-13,0.09,3.25,0.75
2014-08-20,0.09,3.25,0.75
2014-08-27,0.09,3.25,0.75
2014-09-03,0.08,3.25,0.75
2014-09-10,0.09,3.25,0.75
2014-09-17,0.09,3.25,0.75
2014-09-24,0.09,3.25,0.75
2014-10-01,0.09,3.25,0.75
2014-10-08,0.09,3.25,0.75
2014-10-15,0.09,3.25,0.75
2014-10-22,0.09,3.25,0.75
2014-10-29,0.09,3.25,0.75
2014-11-05,0.08,3.25,0.75
2014-11-12,0.09,3.25,0.75
2014-11-19,0.1,3.25,0.75
2014-11-26,0.1,3.25,0.75
2014-12-03,0.1,3.25,0.75
2014-12-10,0.12,3.25,0.75
2014-12-17,0.12,3.25,0.75
2014-12-24,0.13,3.25,0.75
2014-12-31,0.12,3.25,0.75
2015-01-07,0.11,3.25,0.75
2015-01-14,0.12,3.25,0.75
2015-01-21,0.13,3.25,0.75
2015-01-28,0.12,3.25,0.75
2015-02-04,0.09,3.25,0.75
2015-02-11,0.12,3.25,0.75
2015-02-18,0.12,3.25,0.75
2015-02-25,0.12,3.25,0.75
2015-03-04,0.09,3.25,0.75
2015-03-11,0.12,3.25,0.75
2015-03-18,0.11,3.25,0.75
2015-03-25,0.12,3.25,0.75
2015-04-01,0.11,3.25,0.75
2015-04-08,0.12,3.25,0.75
2015-04-15,0.12,3.25,0.75
2015-04-22,0.13,3.25,0.75
2015-04-29,0.13,3.25,0.75
2015-05-06,0.12,3.25,0.75
2015-05-13,0.13,3.25,0.75
2015-05-20,0.13,3.25,0.75
2015-05-27,0.13,3.25,0.75
2015-06-03,0.1,3.25,0.75
2015-06-10,0.13,3.25,0.75
2015-06-17,0.13,3.25,0.75
2015-06-24,0.13,3.25,0.75
2015-07-01,0.12,3.25,0.75
2015-07-08,0.13,3.25,0.75
2015-07-15,0.13,3.25,0.75
2015-07-22,0.13,3.25,0.75
2015-07-29,0.13,3.25,0.75
2015-08-05,0.11,3.25,0.75
2015-08-12,0.14,3.25,0.75
2015-08-19,0.15,3.25,0.75
2015-08-26,0.15,3.25,0.75
2015-09-02,0.13,3.25,0.75
2015-09-09,0.14,3.25,0.75
2015-09-16,0.14,3.25,0.75
2015-09-23,0.14,3.25,0.75
2015-09-30,0.12,3.25,0.75
2015-10-07,0.13,3.25,0.75
2015-10-14,0.13,3.25,0.75
2015-10-21,0.13,3.25,0.75
2015-10-28,0.12,3.25,0.75
2015-11-04,0.1,3.25,0.75
2015-11-11,0.12,3.25,0.75
2015-11-18,0.12,3.25,0.75
2015-11-25,0.12,3.25,0.75
2015-12-02,0.12,3.25,0.75
2015-12-09,0.13,3.25,0.75
2015-12-16,0.14,3.25,0.75
2015-12-23,0.37,3.5,1
2015-12-30,0.36,3.5,1
2016-01-06,0.27,3.5,1
2016-01-13,0.36,3.5,1
2016-01-20,0.36,3.5,1
2016-01-27,0.38,3.5,1
2016-02-03,0.34,3.5,1
2016-02-10,0.38,3.5,1
2016-02-17,0.38,3.5,1
2016-02-24,0.38,3.5,1
2016-03-02,0.36,3.5,1
2016-03-09,0.36,3.5,1
2016-03-16,0.36,3.5,1
2016-03-23,0.37,3.5,1
2016-03-30,0.37,3.5,1
2016-04-06,0.35,3.5,1
2016-04-13,0.37,3.5,1
2016-04-20,0.37,3.5,1
2016-04-27,0.37,3.5,1
2016-05-04,0.34,3.5,1
2016-05-11,0.37,3.5,1
2016-05-18,0.37,3.5,1
2016-05-25,0.37,3.5,1
2016-06-01,0.36,3.5,1
2016-06-08,0.37,3.5,1
2016-06-15,0.37,3.5,1
2016-06-22,0.38,3.5,1
2016-06-29,0.4,3.5,1
2016-07-06,0.39,3.5,1
2016-07-13,0.4,3.5,1
2016-07-20,0.4,3.5,1
2016-07-27,0.4,3.5,1
2016-08-03,0.36,3.5,1
2016-08-10,0.4,3.5,1
2016-08-17,0.4,3.5,1
2016-08-24,0.4,3.5,1
2016-08-31,0.39,3.5,1
2016-09-07,0.4,3.5,1
2016-09-14,0.4,3.5,1
2016-09-21,0.4,3.5,1
2016-09-28,0.4,3.5,1
2016-10-05,0.35,3.5,1
2016-10-12,0.4,3.5,1
2016-10-19,0.41,3.5,1
2016-10-26,0.41,3.5,1
2016-11-02,0.4,3.5,1
2016-11-09,0.41,3.5,1
2016-11-16,0.41,3.5,1
2016-11-23,0.41,3.5,1
2016-11-30,0.4,3.5,1
2016-12-07,0.41,3.5,1
2016-12-14,0.41,3.5,1
2016-12-21,0.66,3.75,1.25
2016-12-28,0.66,3.75,1.25
2017-01-04,0.6,3.75,1.25
2017-01-11,0.66,3.75,1.25
2017-01-18,0.66,3.75,1.25
2017-01-25,0.66,3.75,1.25
2017-02-01,0.65,3.75,1.25
2017-02-08,0.66,3.75,1.25
2017-02-15,0.66,3.75,1.25
2017-02-22,0.66,3.75,1.25
2017-03-01,0.65,3.75,1.25
2017-03-08,0.66,3.75,1.25
2017-03-15,0.66,3.75,1.25
2017-03-22,0.91,4,1.5
2017-03-29,0.91,4,1.5
2017-04-05,0.87,4,1.5
2017-04-12,0.91,4,1.5
2017-04-19,0.91,4,1.5
2017-04-26,0.91,4,1.5
2017-05-03,0.88,4,1.5
2017-05-10,0.91,4,1.5
2017-05-17,0.91,4,1.5
2017-05-24,0.91,4,1.5
2017-05-31,0.9,4,1.5
2017-06-07,0.91,4,1.5
2017-06-14,0.91,4,1.5
2017-06-21,1.16,4.25,1.75
2017-06-28,1.16,4.25,1.75
2017-07-05,1.12,4.25,1.75
2017-07-12,1.16,4.25,1.75
2017-07-19,1.16,4.25,1.75
2017-07-26,1.16,4.25,1.75
2017-08-02,1.15,4.25,1.75
2017-08-09,1.16,4.25,1.75
2017-08-16,1.16,4.25,1.75
2017-08-23,1.16,4.25,1.75
2017-08-30,1.16,4.25,1.75
2017-09-06,1.15,4.25,1.75
2017-09-13,1.16,4.25,1.75
2017-09-20,1.16,4.25,1.75
2017-09-27,1.16,4.25,1.75
2017-10-04,1.12,4.25,1.75
2017-10-11,1.16,4.25,1.75
2017-10-18,1.16,4.25,1.75
2017-10-25,1.16,4.25,1.75
2017-11-01,1.15,4.25,1.75
